iter	dir	throughput_mbps	retransmits	cpu_local_pct	cpu_remote_pct	mcs	nss	width_mhz	bssid	ts
1	TCP-P8-UL	590.60	300	0.8	11.2	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:38:29-07:00
2	TCP-P8-UL	589.26	59	0.8	11.5	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:39:05-07:00
3	TCP-P8-UL	614.72	34	0.9	10.9	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:39:40-07:00
4	TCP-P8-UL	628.85	3	0.9	11.8	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:40:15-07:00
5	TCP-P8-UL	600.87	363	0.9	10.9	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:40:50-07:00
6	TCP-P8-UL	615.38	24	0.9	11.9	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:41:25-07:00
7	TCP-P8-UL	611.57	8	0.9	11.3	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:42:00-07:00
8	TCP-P8-UL	629.24	83	0.9	12.2	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:42:35-07:00
9	TCP-P8-UL	545.68	1	1.0	11.0	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:43:11-07:00
10	TCP-P8-UL	544.59	549	1.1	11.2	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:43:46-07:00
1	TCP-P8-DL	630.07	0	8.7	1.7	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:44:21-07:00
2	TCP-P8-DL	751.46	0	10.2	2.2	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:44:56-07:00
3	TCP-P8-DL	747.13	0	9.6	2.6	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:45:31-07:00
4	TCP-P8-DL	751.45	0	10.3	2.3	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:46:06-07:00
5	TCP-P8-DL	762.08	0	10.2	2.1	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:46:42-07:00
6	TCP-P8-DL	737.58	0	10.2	2.1	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:47:17-07:00
7	TCP-P8-DL	618.60	0	7.6	1.9	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:47:52-07:00
8	TCP-P8-DL	589.75	0	8.4	1.7	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:48:27-07:00
9	TCP-P8-DL	721.89	0	10.1	2.1	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:49:03-07:00
10	TCP-P8-DL	638.32	0	9.1	1.8	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:49:38-07:00
1	TCP-P1-UL	502.47	7	1.0	2.4	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:50:13-07:00
2	TCP-P1-UL	402.85	4	0.9	2.6	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:50:48-07:00
3	TCP-P1-UL	571.41	2	0.7	2.8	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:51:23-07:00
4	TCP-P1-UL	562.57	5	0.9	2.2	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:51:59-07:00
5	TCP-P1-UL	579.98	183	0.7	2.4	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:52:34-07:00
6	TCP-P1-UL	530.08	6	1.0	2.6	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:53:09-07:00
7	TCP-P1-UL	597.51	27	0.8	3.0	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:53:44-07:00
8	TCP-P1-UL	575.89	9	0.8	2.6	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:54:19-07:00
9	TCP-P1-UL	605.91	180	0.8	3.2	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:54:54-07:00
10	TCP-P1-UL	595.84	5	1.0	2.7	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:55:29-07:00
1	TCP-P1-DL	543.19	0	4.6	1.7	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:56:04-07:00
2	TCP-P1-DL	593.11	0	5.4	1.9	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:56:39-07:00
3	TCP-P1-DL	603.90	0	5.7	1.6	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:57:15-07:00
4	TCP-P1-DL	679.35	0	5.5	2.1	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:57:50-07:00
5	TCP-P1-DL	601.68	0	4.9	1.5	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:58:25-07:00
6	TCP-P1-DL	705.11	0	6.4	2.3	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:59:00-07:00
7	TCP-P1-DL	704.16	0	4.2	2.3	na	na	80	a2:27:a8:63:20:80	2026-05-06T19:59:35-07:00
8	TCP-P1-DL	690.79	0	5.0	2.1	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:00:10-07:00
9	TCP-P1-DL	706.15	0	5.2	2.1	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:00:45-07:00
10	TCP-P1-DL	671.49	0	5.1	2.0	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:01:20-07:00
