iter	dir	throughput_mbps	retransmits	cpu_local_pct	cpu_remote_pct	mcs	nss	width_mhz	bssid	ts
1	TCP-P8-UL	783.55	3	1.1	15.9	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:00:28-07:00
2	TCP-P8-UL	776.91	435	1.2	15.5	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:01:03-07:00
3	TCP-P8-UL	706.63	23	1.0	15.1	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:01:38-07:00
4	TCP-P8-UL	769.92	482	1.1	14.7	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:02:13-07:00
5	TCP-P8-UL	773.82	5	1.1	15.2	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:02:48-07:00
6	TCP-P8-UL	770.24	8	1.2	14.0	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:03:23-07:00
7	TCP-P8-UL	673.77	341	1.0	14.1	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:03:58-07:00
8	TCP-P8-UL	755.72	33	1.1	15.6	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:04:34-07:00
9	TCP-P8-UL	691.77	257	1.0	13.5	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:05:09-07:00
10	TCP-P8-UL	773.72	3	1.1	15.8	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:05:44-07:00
1	TCP-P8-DL	728.95	0	10.4	2.4	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:06:19-07:00
2	TCP-P8-DL	718.02	0	9.7	2.4	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:06:54-07:00
3	TCP-P8-DL	729.72	0	9.8	2.2	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:07:29-07:00
4	TCP-P8-DL	732.18	0	9.3	2.2	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:08:05-07:00
5	TCP-P8-DL	738.76	0	9.8	2.1	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:08:40-07:00
6	TCP-P8-DL	679.18	0	9.2	2.0	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:09:15-07:00
7	TCP-P8-DL	690.46	0	9.5	2.1	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:09:50-07:00
8	TCP-P8-DL	659.15	0	8.9	1.9	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:10:25-07:00
9	TCP-P8-DL	730.62	0	10.1	2.4	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:11:01-07:00
10	TCP-P8-DL	659.05	0	8.9	2.0	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:11:36-07:00
1	TCP-P1-UL	801.53	38	1.5	2.8	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:12:11-07:00
2	TCP-P1-UL	803.33	0	1.5	2.9	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:12:46-07:00
3	TCP-P1-UL	798.23	319	1.3	3.1	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:13:21-07:00
4	TCP-P1-UL	785.38	0	1.4	2.6	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:13:57-07:00
5	TCP-P1-UL	785.56	2	1.5	2.8	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:14:32-07:00
6	TCP-P1-UL	718.66	2	1.3	2.0	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:15:07-07:00
7	TCP-P1-UL	800.38	0	1.5	3.2	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:15:42-07:00
8	TCP-P1-UL	791.11	371	1.5	3.0	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:16:17-07:00
9	TCP-P1-UL	796.48	0	1.3	3.8	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:16:52-07:00
10	TCP-P1-UL	727.15	2	1.3	2.6	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:17:27-07:00
1	TCP-P1-DL	671.06	0	6.3	2.3	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:18:02-07:00
2	TCP-P1-DL	697.03	0	6.7	2.3	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:18:37-07:00
3	TCP-P1-DL	690.11	0	6.5	2.3	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:19:12-07:00
4	TCP-P1-DL	680.57	0	4.5	2.3	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:19:48-07:00
5	TCP-P1-DL	583.86	0	5.0	1.9	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:20:23-07:00
6	TCP-P1-DL	636.88	0	6.1	2.2	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:20:58-07:00
7	TCP-P1-DL	672.78	0	6.5	2.3	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:21:33-07:00
8	TCP-P1-DL	615.32	0	6.8	2.2	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:22:08-07:00
9	TCP-P1-DL	661.52	0	6.0	2.1	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:22:43-07:00
10	TCP-P1-DL	697.14	0	5.5	2.4	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:23:18-07:00
