iter	dir	throughput_mbps	retransmits	cpu_local_pct	cpu_remote_pct	mcs	nss	width_mhz	bssid	ts
1	TCP-P8-UL	682.71	1988	1.0	14.9	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:37:33-07:00
2	TCP-P8-UL	716.16	44	1.1	14.4	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:38:08-07:00
3	TCP-P8-UL	679.92	164	1.0	14.0	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:38:43-07:00
4	TCP-P8-UL	746.34	336	1.1	14.7	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:39:19-07:00
5	TCP-P8-UL	689.84	33	1.1	13.3	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:39:54-07:00
6	TCP-P8-UL	701.11	1052	1.0	13.8	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:40:29-07:00
7	TCP-P8-UL	719.70	530	1.0	13.8	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:41:04-07:00
8	TCP-P8-UL	746.72	555	1.1	15.0	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:41:39-07:00
9	TCP-P8-UL	668.79	585	0.9	13.9	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:42:15-07:00
10	TCP-P8-UL	709.37	18	1.0	13.9	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:42:50-07:00
1	TCP-P8-DL	730.68	0	10.3	2.3	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:43:25-07:00
2	TCP-P8-DL	725.24	0	8.7	2.1	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:44:00-07:00
3	TCP-P8-DL	701.09	0	8.9	2.2	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:44:35-07:00
4	TCP-P8-DL	636.53	0	7.9	2.4	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:45:11-07:00
5	TCP-P8-DL	629.21	0	7.8	1.9	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:45:46-07:00
6	TCP-P8-DL	657.41	0	8.7	2.3	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:46:21-07:00
7	TCP-P8-DL	715.28	0	8.5	2.0	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:46:57-07:00
8	TCP-P8-DL	640.28	0	8.7	1.9	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:47:32-07:00
9	TCP-P8-DL	692.45	0	8.2	2.0	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:48:07-07:00
10	TCP-P8-DL	657.79	0	8.7	2.2	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:48:43-07:00
1	TCP-P1-UL	737.29	1	1.1	2.8	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:49:18-07:00
2	TCP-P1-UL	748.96	0	1.1	3.1	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:49:53-07:00
3	TCP-P1-UL	733.55	289	1.0	2.7	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:50:29-07:00
4	TCP-P1-UL	741.37	1	1.3	3.1	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:51:04-07:00
5	TCP-P1-UL	748.52	0	1.3	2.5	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:51:39-07:00
6	TCP-P1-UL	684.41	37	1.1	3.0	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:52:14-07:00
7	TCP-P1-UL	746.13	0	1.1	3.5	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:52:49-07:00
8	TCP-P1-UL	721.54	333	1.0	3.5	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:53:24-07:00
9	TCP-P1-UL	726.62	1	1.1	2.8	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:53:59-07:00
10	TCP-P1-UL	731.17	0	1.2	3.5	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:54:34-07:00
1	TCP-P1-DL	582.05	0	6.2	2.0	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:55:09-07:00
2	TCP-P1-DL	645.66	0	5.6	6.4	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:55:44-07:00
3	TCP-P1-DL	630.84	0	5.1	2.0	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:56:20-07:00
4	TCP-P1-DL	595.31	0	6.3	2.1	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:56:55-07:00
5	TCP-P1-DL	579.77	0	5.6	3.4	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:57:30-07:00
6	TCP-P1-DL	682.54	0	6.0	2.4	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:58:05-07:00
7	TCP-P1-DL	659.06	0	5.7	2.1	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:58:40-07:00
8	TCP-P1-DL	687.11	0	5.4	2.3	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:59:15-07:00
9	TCP-P1-DL	702.03	0	6.1	2.5	na	na	80	a2:27:a8:63:20:80	2026-05-06T21:59:50-07:00
10	TCP-P1-DL	639.44	0	6.1	2.2	na	na	80	a2:27:a8:63:20:80	2026-05-06T22:00:25-07:00
