iter	dir	throughput_mbps	retransmits	cpu_local_pct	cpu_remote_pct	mcs	nss	width_mhz	bssid	ts
1	TCP-P8-UL	1332.31	0	1.9	14.5	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:39:13-07:00
2	TCP-P8-UL	1357.51	5	1.9	15.8	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:39:48-07:00
3	TCP-P8-UL	1406.34	0	2.0	16.2	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:40:23-07:00
4	TCP-P8-UL	1421.34	0	2.0	16.4	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:40:58-07:00
5	TCP-P8-UL	1407.51	0	2.0	17.0	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:41:34-07:00
6	TCP-P8-UL	1350.38	0	1.8	15.8	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:42:09-07:00
7	TCP-P8-UL	1383.60	0	1.9	15.9	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:42:44-07:00
8	TCP-P8-UL	1404.23	0	1.9	16.5	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:43:19-07:00
9	TCP-P8-UL	1220.26	0	1.7	14.3	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:43:54-07:00
10	TCP-P8-UL	1353.10	0	2.0	16.5	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:44:29-07:00
1	TCP-P8-DL	673.67	0	9.3	2.1	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:45:04-07:00
2	TCP-P8-DL	666.63	0	11.7	2.0	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:45:40-07:00
3	TCP-P8-DL	647.14	0	10.7	1.9	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:46:15-07:00
4	TCP-P8-DL	621.62	0	9.8	2.0	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:46:51-07:00
5	TCP-P8-DL	533.89	0	9.5	1.7	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:47:26-07:00
6	TCP-P8-DL	507.98	0	10.1	1.6	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:48:01-07:00
7	TCP-P8-DL	569.37	0	10.0	2.0	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:48:37-07:00
8	TCP-P8-DL	545.84	0	8.5	1.8	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:49:12-07:00
9	TCP-P8-DL	552.66	0	9.9	1.9	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:49:47-07:00
10	TCP-P8-DL	467.97	0	9.2	1.9	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:50:23-07:00
1	TCP-P1-UL	1304.95	595	3.7	4.1	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:50:58-07:00
2	TCP-P1-UL	1213.25	656	3.0	4.4	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:51:34-07:00
3	TCP-P1-UL	1286.47	55	3.9	3.8	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:52:09-07:00
4	TCP-P1-UL	1266.55	0	3.7	4.1	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:52:44-07:00
5	TCP-P1-UL	1287.97	257	3.8	5.0	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:53:19-07:00
6	TCP-P1-UL	1154.77	740	3.4	3.7	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:53:54-07:00
7	TCP-P1-UL	1313.77	434	3.8	3.9	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:54:29-07:00
8	TCP-P1-UL	1333.19	729	3.4	4.1	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:55:04-07:00
9	TCP-P1-UL	1341.15	832	3.6	3.9	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:55:39-07:00
10	TCP-P1-UL	1385.49	1	4.3	4.5	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:56:14-07:00
1	TCP-P1-DL	578.22	0	2.8	1.7	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:56:49-07:00
2	TCP-P1-DL	512.50	0	2.8	1.6	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:57:25-07:00
3	TCP-P1-DL	592.28	0	3.1	1.8	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:58:00-07:00
4	TCP-P1-DL	929.98	0	3.8	2.7	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:58:35-07:00
5	TCP-P1-DL	598.57	0	1.7	3.0	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:59:10-07:00
6	TCP-P1-DL	586.60	0	3.2	1.9	na	na	160	0a:27:a8:63:20:92	2026-05-06T18:59:45-07:00
7	TCP-P1-DL	505.32	0	2.4	1.7	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:00:20-07:00
8	TCP-P1-DL	456.95	0	2.5	2.2	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:00:55-07:00
9	TCP-P1-DL	469.74	0	2.2	1.5	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:01:31-07:00
10	TCP-P1-DL	552.72	0	2.0	1.6	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:02:06-07:00
