iter	dir	throughput_mbps	retransmits	cpu_local_pct	cpu_remote_pct	mcs	nss	width_mhz	bssid	ts
1	TCP-P8-UL	229.41	6	0.3	4.2	na	na	80	00:0c:43:26:60:20	2026-05-06T13:23:52-07:00
2	TCP-P8-UL	232.56	1	0.4	4.0	na	na	80	00:0c:43:26:60:20	2026-05-06T13:24:27-07:00
3	TCP-P8-UL	232.63	0	0.4	3.8	na	na	80	00:0c:43:26:60:20	2026-05-06T13:25:02-07:00
4	TCP-P8-UL	229.73	6	0.4	4.1	na	na	80	00:0c:43:26:60:20	2026-05-06T13:25:37-07:00
5	TCP-P8-UL	230.57	10	0.4	4.4	na	na	80	00:0c:43:26:60:20	2026-05-06T13:26:12-07:00
6	TCP-P8-UL	231.34	0	0.4	4.2	na	na	80	00:0c:43:26:60:20	2026-05-06T13:26:48-07:00
7	TCP-P8-UL	231.31	7	0.4	4.1	na	na	80	00:0c:43:26:60:20	2026-05-06T13:27:23-07:00
8	TCP-P8-UL	232.46	3	0.4	4.0	na	na	80	00:0c:43:26:60:20	2026-05-06T13:27:58-07:00
9	TCP-P8-UL	229.41	5	0.4	4.2	na	na	80	00:0c:43:26:60:20	2026-05-06T13:28:33-07:00
10	TCP-P8-UL	230.15	12	0.4	3.9	na	na	80	00:0c:43:26:60:20	2026-05-06T13:29:09-07:00
1	TCP-P8-DL	307.40	0	5.1	1.2	na	na	80	00:0c:43:26:60:20	2026-05-06T13:29:44-07:00
2	TCP-P8-DL	284.23	0	5.1	1.1	na	na	80	00:0c:43:26:60:20	2026-05-06T13:30:19-07:00
3	TCP-P8-DL	259.65	0	4.8	1.0	na	na	80	00:0c:43:26:60:20	2026-05-06T13:30:55-07:00
4	TCP-P8-DL	258.47	0	5.4	1.2	na	na	80	00:0c:43:26:60:20	2026-05-06T13:31:30-07:00
5	TCP-P8-DL	208.76	0	5.1	0.8	na	na	80	00:0c:43:26:60:20	2026-05-06T13:32:06-07:00
6	TCP-P8-DL	238.38	0	4.6	0.8	na	na	80	00:0c:43:26:60:20	2026-05-06T13:32:42-07:00
7	TCP-P8-DL	213.45	0	5.6	0.9	na	na	80	00:0c:43:26:60:20	2026-05-06T13:33:17-07:00
8	TCP-P8-DL	257.03	0	3.7	0.8	na	na	80	00:0c:43:26:60:20	2026-05-06T13:33:53-07:00
9	TCP-P8-DL	216.11	0	5.5	0.9	na	na	80	00:0c:43:26:60:20	2026-05-06T13:34:28-07:00
10	TCP-P8-DL	213.87	0	5.2	0.9	na	na	80	00:0c:43:26:60:20	2026-05-06T13:35:04-07:00
1	TCP-P1-UL	225.68	3	0.3	2.2	na	na	80	00:0c:43:26:60:20	2026-05-06T13:35:39-07:00
2	TCP-P1-UL	227.08	9	0.3	2.5	na	na	80	00:0c:43:26:60:20	2026-05-06T13:36:15-07:00
3	TCP-P1-UL	223.89	3	0.3	2.2	na	na	80	00:0c:43:26:60:20	2026-05-06T13:36:50-07:00
4	TCP-P1-UL	225.75	0	0.3	1.8	na	na	80	00:0c:43:26:60:20	2026-05-06T13:37:25-07:00
5	TCP-P1-UL	223.69	4	0.3	1.6	na	na	80	00:0c:43:26:60:20	2026-05-06T13:38:00-07:00
6	TCP-P1-UL	221.31	0	0.3	2.0	na	na	80	00:0c:43:26:60:20	2026-05-06T13:38:35-07:00
7	TCP-P1-UL	213.14	3	0.3	2.0	na	na	80	00:0c:43:26:60:20	2026-05-06T13:39:10-07:00
8	TCP-P1-UL	212.61	3	0.3	2.1	na	na	80	00:0c:43:26:60:20	2026-05-06T13:39:45-07:00
9	TCP-P1-UL	203.07	20	0.3	2.1	na	na	80	00:0c:43:26:60:20	2026-05-06T13:40:21-07:00
10	TCP-P1-UL	217.71	3	0.3	1.7	na	na	80	00:0c:43:26:60:20	2026-05-06T13:40:56-07:00
1	TCP-P1-DL	290.87	0	2.2	1.0	na	na	80	00:0c:43:26:60:20	2026-05-06T13:41:31-07:00
2	TCP-P1-DL	265.14	0	2.0	0.9	na	na	80	00:0c:43:26:60:20	2026-05-06T13:42:06-07:00
3	TCP-P1-DL	230.22	0	1.2	0.8	na	na	80	00:0c:43:26:60:20	2026-05-06T13:42:41-07:00
4	TCP-P1-DL	262.07	0	1.4	0.8	na	na	80	00:0c:43:26:60:20	2026-05-06T13:43:16-07:00
5	TCP-P1-DL	246.72	0	1.6	0.9	na	na	80	00:0c:43:26:60:20	2026-05-06T13:43:51-07:00
6	TCP-P1-DL	216.14	0	1.1	1.0	na	na	80	00:0c:43:26:60:20	2026-05-06T13:44:27-07:00
7	TCP-P1-DL	224.00	0	1.9	0.5	na	na	80	00:0c:43:26:60:20	2026-05-06T13:45:02-07:00
8	TCP-P1-DL	237.84	0	1.6	0.9	na	na	80	00:0c:43:26:60:20	2026-05-06T13:45:37-07:00
9	TCP-P1-DL	215.26	0	1.2	0.8	na	na	80	00:0c:43:26:60:20	2026-05-06T13:46:12-07:00
10	TCP-P1-DL	249.41	0	1.4	0.6	na	na	80	00:0c:43:26:60:20	2026-05-06T13:46:48-07:00
