iter	dir	throughput_mbps	retransmits	cpu_local_pct	cpu_remote_pct	mcs	nss	width_mhz	bssid	ts
1	TCP-P8-UL	263.63	7	0.4	7.3	na	na	160	00:0c:43:26:60:20	2026-05-06T16:29:57-07:00
2	TCP-P8-UL	259.08	0	0.4	7.6	na	na	160	00:0c:43:26:60:20	2026-05-06T16:30:32-07:00
3	TCP-P8-UL	255.14	0	0.4	7.7	na	na	160	00:0c:43:26:60:20	2026-05-06T16:31:07-07:00
4	TCP-P8-UL	256.82	3	0.4	7.5	na	na	160	00:0c:43:26:60:20	2026-05-06T16:31:42-07:00
5	TCP-P8-UL	257.93	0	0.5	8.1	na	na	160	00:0c:43:26:60:20	2026-05-06T16:32:18-07:00
6	TCP-P8-UL	256.96	5	0.4	8.1	na	na	160	00:0c:43:26:60:20	2026-05-06T16:32:53-07:00
7	TCP-P8-UL	257.51	14	0.4	7.3	na	na	160	00:0c:43:26:60:20	2026-05-06T16:33:28-07:00
8	TCP-P8-UL	258.18	4	0.4	7.7	na	na	160	00:0c:43:26:60:20	2026-05-06T16:34:03-07:00
9	TCP-P8-UL	258.53	0	0.5	7.6	na	na	160	00:0c:43:26:60:20	2026-05-06T16:34:38-07:00
10	TCP-P8-UL	258.52	0	0.4	7.2	na	na	160	00:0c:43:26:60:20	2026-05-06T16:35:13-07:00
1	TCP-P8-DL	289.33	0	6.7	1.3	na	na	160	00:0c:43:26:60:20	2026-05-06T16:35:48-07:00
2	TCP-P8-DL	267.10	0	5.9	1.0	na	na	160	00:0c:43:26:60:20	2026-05-06T16:36:24-07:00
3	TCP-P8-DL	245.67	0	6.0	1.2	na	na	160	00:0c:43:26:60:20	2026-05-06T16:36:59-07:00
4	TCP-P8-DL	300.06	0	7.1	1.0	na	na	160	00:0c:43:26:60:20	2026-05-06T16:37:34-07:00
5	TCP-P8-DL	319.88	0	6.3	1.2	na	na	160	00:0c:43:26:60:20	2026-05-06T16:38:10-07:00
6	TCP-P8-DL	317.68	0	7.3	1.1	na	na	160	00:0c:43:26:60:20	2026-05-06T16:38:45-07:00
7	TCP-P8-DL	302.02	0	7.7	1.2	na	na	160	00:0c:43:26:60:20	2026-05-06T16:39:20-07:00
8	TCP-P8-DL	184.72	0	5.7	0.6	na	na	160	00:0c:43:26:60:20	2026-05-06T16:39:56-07:00
9	TCP-P8-DL	281.67	0	5.9	1.1	na	na	160	00:0c:43:26:60:20	2026-05-06T16:40:31-07:00
10	TCP-P8-DL	250.60	0	6.8	0.8	na	na	160	00:0c:43:26:60:20	2026-05-06T16:41:06-07:00
1	TCP-P1-UL	257.04	0	0.3	2.0	na	na	160	00:0c:43:26:60:20	2026-05-06T16:41:41-07:00
2	TCP-P1-UL	258.26	0	0.3	1.7	na	na	160	00:0c:43:26:60:20	2026-05-06T16:42:17-07:00
3	TCP-P1-UL	258.36	0	0.3	2.0	na	na	160	00:0c:43:26:60:20	2026-05-06T16:42:52-07:00
4	TCP-P1-UL	258.64	0	0.3	1.6	na	na	160	00:0c:43:26:60:20	2026-05-06T16:43:27-07:00
5	TCP-P1-UL	259.37	5	0.3	2.2	na	na	160	00:0c:43:26:60:20	2026-05-06T16:44:02-07:00
6	TCP-P1-UL	258.53	5	0.3	1.7	na	na	160	00:0c:43:26:60:20	2026-05-06T16:44:37-07:00
7	TCP-P1-UL	258.15	0	0.3	2.1	na	na	160	00:0c:43:26:60:20	2026-05-06T16:45:12-07:00
8	TCP-P1-UL	258.19	0	0.3	1.7	na	na	160	00:0c:43:26:60:20	2026-05-06T16:45:47-07:00
9	TCP-P1-UL	259.37	0	0.3	1.6	na	na	160	00:0c:43:26:60:20	2026-05-06T16:46:22-07:00
10	TCP-P1-UL	258.88	0	0.3	2.1	na	na	160	00:0c:43:26:60:20	2026-05-06T16:46:58-07:00
1	TCP-P1-DL	315.23	0	1.2	1.1	na	na	160	00:0c:43:26:60:20	2026-05-06T16:47:33-07:00
2	TCP-P1-DL	317.88	0	1.7	1.0	na	na	160	00:0c:43:26:60:20	2026-05-06T16:48:08-07:00
3	TCP-P1-DL	263.67	0	1.3	0.9	na	na	160	00:0c:43:26:60:20	2026-05-06T16:48:43-07:00
4	TCP-P1-DL	273.39	0	1.7	1.0	na	na	160	00:0c:43:26:60:20	2026-05-06T16:49:18-07:00
5	TCP-P1-DL	231.66	0	1.5	1.0	na	na	160	00:0c:43:26:60:20	2026-05-06T16:49:54-07:00
6	TCP-P1-DL	306.21	0	2.5	1.0	na	na	160	00:0c:43:26:60:20	2026-05-06T16:50:29-07:00
7	TCP-P1-DL	295.58	0	1.6	1.0	na	na	160	00:0c:43:26:60:20	2026-05-06T16:51:04-07:00
8	TCP-P1-DL	289.68	0	1.8	1.1	na	na	160	00:0c:43:26:60:20	2026-05-06T16:51:39-07:00
9	TCP-P1-DL	298.42	0	1.5	1.0	na	na	160	00:0c:43:26:60:20	2026-05-06T16:52:14-07:00
10	TCP-P1-DL	286.50	0	2.3	0.9	na	na	160	00:0c:43:26:60:20	2026-05-06T16:52:50-07:00
